ID,HowRare.is,MoonRank
884,3382,2821
885,822,1451
886,8548,8155
887,8034,7295
888,9293,8323
889,2121,1622
890,8396,7958
891,759,687
892,2287,1633
893,6186,6523
894,2187,1759
895,1898,4103
896,9844,9646
897,3401,2542
898,6119,5286
899,3845,3250
900,1014,1133
901,8911,9317
902,4670,3834
903,9894,9721
904,5793,5189
905,3509,4346
906,3027,2558
907,2883,4413
908,4679,5334
909,316,341
910,1936,1430
911,260,184
912,7320,6414
913,7447,6858
914,3033,2553
915,5323,6036
916,9906,9767
917,7649,7391
918,1576,1126
919,4451,4000
920,220,163
921,3767,2947
922,3716,4213
923,3580,3023
924,2752,2191
925,7900,8238
926,1905,1464
927,8414,8464
928,1254,826
929,708,248
930,7020,6208
931,3628,2686
932,2318,1764
933,8391,7965
934,8234,7322
935,6211,5519
936,6125,5417
937,1589,1057
938,1478,1613
939,2197,2583
940,2270,2039
941,9499,9450
942,5871,5201
943,41,806
944,1527,4434
945,8043,7781
946,457,780
947,5624,4956
948,5219,5511
949,5912,5996
950,6004,5704
951,3299,3237
952,4736,4072
953,9117,8922
954,4323,3669
955,7207,6957
956,3798,3307
957,1984,1482
958,7420,7609
959,7094,6448
960,4387,3693
961,4529,6022
962,368,514
963,7264,6273
964,4904,4259
965,1051,588
966,9347,9313
967,2815,2832
968,9373,9007
969,1529,1658
970,5421,4650
971,4244,4831
972,9027,9012
973,3635,3132
974,9747,9604
975,8694,8317
976,563,1649
977,854,888
978,3701,4641
979,6096,6616
980,4033,3312
981,8331,7946
982,4977,4150
983,2156,1851
984,8233,7323
985,8473,8344
986,2664,3085
987,4294,3446
988,6434,6085
989,3293,4127
990,4411,3831
991,6748,7177
992,6915,7853
993,1163,724
994,562,452
995,2970,2379
996,8058,7580
997,3356,3296
998,705,521
999,247,133
1000,7167,7535
1001,1243,796
1002,9718,9367
1003,7202,5943
1004,8161,8407
1005,5376,4653
1006,5037,4447
1007,1043,1382
1008,1116,639
1009,2115,2079
1010,1715,1287
1011,6144,7163
1012,6448,6007
1013,3076,2433
1014,9826,9926
1015,1035,695
1016,2185,2432
1017,6221,5884
1018,8081,7520
1019,1404,1973
1020,3138,2744
1021,6662,8015
1022,5014,5813
1023,3343,2699
1024,958,978
1025,1372,1689
1026,825,845
1027,3479,2923
1028,9970,9899
1029,6219,5442
1030,5902,5901
1031,2143,1663
1032,414,615
1033,3668,4115
1034,2271,1710
1035,515,197
1036,4157,3530
1037,2055,2031
