ID,HowRare.is,MoonRank
0747,6107,7275
0748,3862,2127
0749,7377,6954
0750,7627,5926
0751,8901,8954
0752,8642,8131
0753,6776,7517
0754,1577,1877
0755,8153,8857
0756,4277,3466
0757,167,212
0758,293,39
0759,7628,4865
0760,9969,9977
0761,212,3673
0762,8177,6097
0763,2649,348
0764,9260,9329
0765,3257,2389
0766,8064,8800
0767,6470,5343
0768,2181,1378
0769,8683,9417
0770,707,551
0771,5890,4251
0772,1628,1282
0773,9661,9741
0774,7660,5183
0775,7650,5378
0776,9013,8124
0777,8723,8793
0778,8463,8133
0779,6586,4177
0780,2258,5431
0781,5616,4448
0782,5115,5570
0783,8075,6122
0784,6435,7779
0785,5596,4741
0786,2215,4853
0787,3064,1021
0788,5563,7037
0789,7452,8097
0790,5894,6268
0791,1041,2277
0792,1754,411
0793,6030,4609
0794,3760,3331
0795,4633,5876
0796,6189,7983
0797,9626,9514
0798,4276,5393
0799,8576,9574
0800,9512,9494
0801,7799,7851
0802,9779,9763
0803,3429,5979
0804,3112,2558
0805,5273,6947
0806,7716,7411
0807,7438,6709
0808,4550,5430
0809,1613,1947
0810,5645,8065
0811,8269,8606
0812,741,422
0813,2468,3253
0814,1135,161
0815,8620,9135
0816,5772,5863
0817,1983,839
0818,2118,1697
0819,9894,9839
0820,5600,6400
0821,2991,1700
0822,4800,811
0823,9875,9840
0824,8210,6708
0825,9006,8184
0826,4384,6360
0827,9319,8929
0828,333,641
0829,9800,9654
0830,9992,9991
0831,5577,6328
0832,5321,3134
0833,6748,7609
0834,7608,6555
0835,9720,9652
0836,4730,2108
0837,9364,9460
0838,5380,2991
0839,7978,8068
0840,4347,5823
0841,8462,9408
0842,9326,9382
0843,8206,8897
0844,6746,7930
0845,2534,4875
0846,8557,7582
0847,2679,1682
0848,4065,3665
0849,3119,2608
0850,2703,2927
0851,5098,5588
0852,9922,9928
0853,7800,6498
0854,6994,4562
0855,8570,8298
0856,7022,8573
0857,2860,2675
0858,8715,8815
0859,450,2683
0860,1824,3608
0861,7113,8613
0862,2706,2023
0863,7506,5315
0864,8962,8732
0865,6358,4073
0866,8719,8227
0867,5785,6993
0868,4219,2804
0869,683,213
0870,9540,8699
0871,9597,9311
0872,6702,8384
0873,6438,7255
0874,2384,1696
0875,7067,7826
0876,6400,5676
0877,2440,2350
0878,3575,6893
0879,6191,6054
0880,7119,7578
0881,7153,6800
0882,9713,9646
0883,7896,8070
0884,4895,6507
0885,7704,7904
0886,612,5685
0887,9853,9776
0888,7535,5875
0889,3613,3658
0890,9519,9436
0891,7017,6091
0892,5269,5344
0893,9847,9538
0894,7732,7518
0895,8921,7991
0896,842,1940
0897,6856,7939
0898,5775,4129
0899,8057,6100
0900,7263,8398
0901,7427,8704
0902,1905,2017
0903,8172,8412
0904,7492,6854
0905,9021,8134
0906,6020,3066
0907,7367,7158
0908,7791,5336
0909,2494,3865
0910,8881,8259
0911,65,177
0912,5996,4989
0913,1323,2897
0914,4105,5946
0915,2773,3688
0916,4849,6785
0917,5731,4108
0918,1414,1767
0919,7249,6619
0920,6326,7163
0921,3900,2237
0922,1873,4762
0923,8378,6398
0924,3500,2512
0925,5110,1631
0926,8381,9225
0927,6543,5010
0928,8477,8522
0929,8307,6830
0930,9944,9940
0931,6809,6943
0932,7294,6756
0933,6373,7282
0934,7586,7330
0935,2523,3651
0936,5049,4968
0937,5221,4371
0938,8116,7893
0939,8135,6933
0940,3127,5531
0941,4220,5375
0942,1127,1118
0943,2015,373
0944,4063,7915
0945,8127,7020
0946,6007,1119
0947,6791,6139
0948,7792,9251
0949,8674,8287
0950,9837,9783
0951,4807,3405
0952,4108,6016
0953,6276,6511
0954,5483,5870
0955,6344,7522
0956,4206,6614
0957,1305,258
0958,7783,6414
0959,4966,6298
0960,3617,2587
0961,4758,5916
0962,816,909
0963,1945,2143
0964,9601,9276
0965,8051,6935
0966,4873,6074
0967,2493,994
0968,425,2680
0969,6602,5554
0970,9963,9974
0971,8362,8961
0972,9598,9497
0973,4476,2354
0974,5260,5682
0975,3605,1593
0976,1301,2581
0977,9747,9447
0978,3340,4009
0979,1935,1604
0980,7645,7586
0981,1888,1346
0982,1142,1572
0983,4972,6529
0984,2424,4298
0985,574,1385
0986,4543,4197
0987,6820,6321
0988,3929,4317
0989,3368,3826
0990,2894,3371
0991,1709,41
0992,5067,660
0993,7428,5995
0994,5174,4045
0995,8739,8307
0996,8590,9316
0997,4772,2534
0998,2895,2700
0999,9502,9418
1000,3635,5819
10000,1459,491
1001,8953,7328
1002,3352,2881
1003,2364,2280
1004,2916,5718
1005,3658,3767
1006,3690,2279
